30 Day iTune Shuffle Challenge,1,0,,,,,
akutadashi's Fictember 2020,1,0,,,MIN,MEAN,MAX
AOD 2015 Fan Fiction Iron Chef,1,0,,1,0,0,0
Badwrong Weeks 2020,1,0,,2,0,2.75,23
Bishop Myriel Fundraiser Winter 2021-2022,1,0,,3,29,66.55555556,130
Community: 30randomkisses,1,0,,4,147,369.3947368,678
Community: 5_nevers,1,0,,5,718,1531.65,3024
Community: bbcland,1,0,,6,3750,8569.153846,15841
Community: cosasdemayores,1,0,,7,26492,48208.3,79867
Community: death_bigbang,1,0,,8,115688,296591.6667,507929
Community: helpsomalia,1,0,,9,0,,0
Community: ineedmyfics,1,0,,10,0,,0
Community: itsproductivity,1,0,,,,,
Community: jump100,1,0,,,,,
Community: santa_smex,1,0,,,,,
Community: saying_yes_2010,1,0,,,,,
Community: tentinyfandoms,1,0,,,,,
Corner of Creation Discord Monthly Challenge February 2022: Happy Endings,1,0,,,,,
Crip Big Bang,1,0,,,,,
Dark Annie,1,0,,,,,
Day After Tomorrow Challenge,1,0,,,,,
Desi Source,1,0,,,,,
discokonomi's Sex Pollen Fest 2022,1,0,,,,,
Fragments of Sappho Challenge,1,0,,,,,
guywhodoesart's Janoiry Prompt List 2023,1,0,,,,,
Lypnepys 2022 | June Writing Challenge 2022,1,0,,,,,
magpie_fngrl's 2021 Summer Writin' Challenge,1,0,,,,,
31 Days of Rarepairs Challenge,2,0,,,,,
Ask-verse,2,23,,,,,
Bosnia,2,0,,,,,
Challenge: OTP Battle,2,21,,,,,
Community: 10iloveyou,2,0,,,,,
Community: 500themes,2,0,,,,,
Community: death_bingo,2,0,,,,,
Community: multifan_gift,2,0,,,,,
Community: prompt-in-a-box,2,0,,,,,
Episode: e063,2,0,,,,,
Episode: s17e02,2,0,,,,,
Family Fanfiction Indonesia | FamilyFI2019,2,0,,,,,
Lindsay Bashing,2,0,,,,,
Marimo,2,0,,,,,
Mentioned Niijima Sae,2,0,,,,,
Micro Pod Fest 2022,2,0,,,,,
Alpha Thomas,3,123,,,,,
Alternate Universe - Angels Are Known,3,60,,,,,
Animate Object,3,80,,,,,
Applied Phlebotinum,3,29,,,,,
Bongs,3,104,,,,,
Bring Back The Porn Challenge,3,59,,,,,
Cautionary Tale,3,65,,,,,
Challenge Accepted,3,81,,,,,
Community: 64damn_prompts,3,29,,,,,
Community: help_japan,3,85,,,,,
Community: smallfandomflsh,3,42,,,,,
Community: ushobwri,3,47,,,,,
Dick or Treat Fest,3,103,,,,,
Episode: e048,3,30,,,,,
Episode: e073,3,33,,,,,
