Works: 21479
Superman/Batman, relationship, 9
Clark Kent, character, 134
Bruce Wayne, character, 332
Alfred Pennyworth, character, 136
Jonathan Kent, character, 31
Martha Kent, character, 23
Thomas Wayne, character, 14
Martha Wayne, character, 12
Helena Bertinelli/Dinah Lance, relationship, 8
Helena Bertinelli, character, 15
Dinah Lance, character, 21
Renee Montoya, character, 12
Harley Quinn, character, 35
some ouchies in this, freeform, 8
and hurt/comfort, freeform, 8
and a bit fluff, freeform, 8
and a bit of angst, freeform, 8
cause I'm me lol, freeform, 8
more harmless than the canon violence I think though, freeform, 8
Original Female Character & Original Male Character, relationship, 11
Original Characters, character, 612
Artemisia I of Caria, character, 8
Various Character(s), character, 12
Minor Characters, character, 57
Darkseid (DCU), character, 8
Background & Cameo Characters, character, 42
Self-Insert, freeform, 32
Black Male Character, freeform, 9
Black Character(s), freeform, 28
Blondes, freeform, 8
Male-Female Friendship, freeform, 51
Interracial Relationship, freeform, 15
Sequel, freeform, 36
Superheroes, freeform, 21
Supervillains, freeform, 14
Superpowers, freeform, 19
Weapons, freeform, 14
Swords, freeform, 12
Fights, freeform, 62
Epic Battles, freeform, 14
Original Character(s), freeform, 191
Original Character-centric, freeform, 27
Major Original Character(s), freeform, 23
Out of Character, freeform, 101
2020s, freeform, 8
Alternate Universe - Modern Setting, freeform, 526
Alternate Universe, freeform, 838
Magic-Users, freeform, 17
Magic, freeform, 173
Heroes & Heroines, freeform, 9
Villains, freeform, 20
Good versus Evil, freeform, 10
Planets, freeform, 13
Interplanetary Travel, freeform, 8
Space Opera, freeform, 11
Science Fiction, freeform, 36
Fantasy, freeform, 75
High Fantasy, freeform, 10
Urban Fantasy, freeform, 19
Action/Adventure, freeform, 141
Action, freeform, 89
Violence, freeform, 259
Clark Kent/Bruce Wayne, relationship, 32
Conner Kent, character, 10
Bottom Clark Kent, freeform, 8
somewhere in time parody, freeform, 8
Batman(Robert Pattinson) / Superman (Henry Cavill), freeform, 8
Roy Harper/Jason Todd, relationship, 27
Tim Drake/Kon-El | Conner Kent, relationship, 31
Jason Todd, character, 287
Roy Harper, character, 76
Koriand'r (DCU), character, 40
Kon-El | Conner Kent, character, 75
Tim Drake, character, 238
Barbara Gordon, character, 59
Hurt/Comfort, freeform, 1622
Emotional Hurt/Comfort, freeform, 714
Found Family, freeform, 162
Alternate Timelines, freeform, 23
Tim Drake/Ra's al Ghul, relationship, 10
Ra's al Ghul, character, 22
Alpha/Beta/Omega Dynamics, freeform, 272
Omega Tim Drake, freeform, 9
Alpha Ra's al Ghul, freeform, 9
Induced heats, freeform, 8
Drug-Induced Sex, freeform, 15
Kidnapping, freeform, 209
Obsession, freeform, 35
Unhealthy Relationships, freeform, 82
Emotional Manipulation, freeform, 94
Ra's being Ra's I guess, freeform, 8
This Is Why We Can't Have Nice Things, freeform, 35
Older Man/Younger Man, freeform, 21
no beta we die like jason todd, freeform, 14
Astra/Alex Danvers, relationship, 16
Alex Danvers, character, 96
Astra (Supergirl TV 2015), character, 16
Alternate Universe - Canon Divergence, freeform, 1074
Astra (Supergirl TV 2015) Lives, freeform, 8
Established Relationship, freeform, 983
Fluff, freeform, 3014
Oswald Cobblepot/Edward Nygma, relationship, 15
Oswald Cobblepot, character, 26
Edward Nygma, character, 43
Post-Finale, freeform, 9
Fix-It, freeform, 140
Set during the limo episode, freeform, 6
like the title says, freeform, 6
Smut, freeform, 793
PWP, freeform, 80
Praise Kink, freeform, 164
Weight Issues, freeform, 11
body issues, freeform, 6
Injury issues, freeform, 6
Age Issues, freeform, 6
yes cobblepot has them all, freeform, 6
Body Worship, freeform, 74
lil bit of angst, freeform, 6
Hand Jobs, freeform, 193
Touch-Starved, freeform, 61
Episode: s05e12 The Beginning, freeform, 6
Sara Lance & Team Legends, relationship, 3
Sara Lance, character, 26
Oliver Queen, character, 72
Felicity Smoak, character, 36
Not Beta Read, freeform, 215
Self-Reflection, freeform, 18
Kinda, freeform, 76
Inner Dialogue, freeform, 10
Fear of Death, freeform, 8
Fear, freeform, 36
Short, freeform, 55
Post-Crisis on Infinite Earths Crossover Event (CW DC TV Universe), freeform, 5
part is set in Legends s4, freeform, 3
How Do I Tag, freeform, 121
I Don't Even Know, freeform, 52
Bad Ending, freeform, 16
Headcanon, freeform, 41
yep, freeform, 4
oliver's only mentioned, freeform, 3
Dialogue Light, freeform, 5
Short One Shot, freeform, 110
Wordcount: 100-1.000, freeform, 10
Dick Grayson & Jason Todd, relationship, 35
Jason Todd & Bruce Wayne, relationship, 26
Dick Grayson & Bruce Wayne, relationship, 36
Dick Grayson, character, 305
Alternative Perspective, freeform, 6
Hurt No Comfort, freeform, 200
Emotional Hurt, freeform, 86
Crying, freeform, 151
Tears, freeform, 14
Character Death, freeform, 283
everyones sad, freeform, 3
not even an ounce of happiness, freeform, 3
You've been warned, freeform, 4
Sad Ending, freeform, 57
dont worry I’ll make em happy later, freeform, 3
Father-Son Relationship, freeform, 78
Father Figures, freeform, 13
Hurt Dick Grayson, freeform, 19
Hurt Jason Todd, freeform, 8
Jason Todd Needs A Hug, freeform, 27
so does Dick, freeform, 3
Police Officer Dick Grayson, freeform, 4
Brothers, freeform, 36
Jason Todd is Robin, freeform, 11
Bruce Wayne Died, freeform, 3
for real this time, freeform, 3
Dick Grayson and Jason Todd are Siblings, freeform, 3
but dick and jason are gonna work through it, freeform, 3
So stay tuned, freeform, 3
i rewrote this too many times, freeform, 3
Hurts So Good, freeform, 5
hahahahha, freeform, 3
pls help-, freeform, 3
Jerome Valeska/Original Female Character(s), relationship, 3
Jerome Valeska/OC, relationship, 3
Jerome Valeska, character, 6
Original Character, character, 29
Joker, character, 14
Original Female Character, character, 45
Nothing but text messages, freeform, 3
stalker triggers, freeform, 3
slight harassment, freeform, 3
Arkham Asylum, freeform, 4
sweet in its weird way, freeform, 3
Cassandra Cain & Damian Wayne, relationship, 7
Dick Grayson & Damian Wayne, relationship, 14
Batfamily Members, character, 17
Supportive Dick Grayson, freeform, 3
Gender fluid Damian Wayne, freeform, 3
Because fuck gender rules, freeform, 3
Cass is a supportive sister, freeform, 3
Dick is a supportive brother, freeform, 3
Bruce is a supportive and tired dad, freeform, 3
Jason and Tim are there, freeform, 3
I kinda focused to much on Damian and Bruce that I forgot to make them present, freeform, 3
but they're there, freeform, 3
I swear, freeform, 6
Wally West/Original Female Character(s), relationship, 4
John Stewart/Katma Tui, relationship, 3
Wally West, character, 52
Original Female Character(s), character, 591
Hal Jordan, character, 28
Carol Ferris, character, 5
John Stewart, character, 3
Guy Gardner, character, 8
Kilowog (DCU), character, 4
Barry Allen, character, 99
Iris West, character, 42
Kaldur'ahm (DCU), character, 23
Arthur Curry (DCU), character, 9
Clone Roy Harper | Will Harper, character, 9
Artemis Crock, character, 25
J'onn J'onzz, character, 10
M'gann M'orzz, character, 29
Red Tornado, character, 5
The Guardians of Oa, character, 3
Friends to Lovers, freeform, 425
Slow Burn, freeform, 503
Team Bonding, freeform, 20
Alien Culture, freeform, 13
Post-Traumatic Stress Disorder - PTSD, freeform, 252
Implied/Referenced Child Abuse, freeform, 198
Implied/Referenced Mental Health Issues, freeform, 3
Fluff and Angst, freeform, 786
Romance, freeform, 857
Eventual Romance, freeform, 150
Teen Romance, freeform, 43
Green Lantern Corps - Freeform, freeform, 3
First Love, freeform, 31
Other Additional Tags to Be Added, freeform, 394
Clark Kent/Lois Lane, relationship, 32
Lois Lane, character, 47
Lex Luthor, character, 40
Lana Lang, character, 14
Chloe Sullivan, character, 18
Pete Ross, character, 3
Sam Lane, character, 8
Friendship, freeform, 454
Canon Related, freeform, 18
Love, freeform, 281
John Diggle, character, 12
Donna Smoak, character, 5
Quentin Lance, character, 4
Thea Queen, character, 12
Steve Rogers, character, 1351
Natasha Romanov (Marvel), character, 689
Tony Stark, character, 1205
Pepper Potts, character, 260
James "Rhodey" Rhodes, character, 156
Sam Wilson (Marvel), character, 452
Thor (Marvel), character, 397
James "Bucky" Barnes, character, 1119
Clint Barton, character, 523
Bruce Banner, character, 325
Time Skips, freeform, 28
Domestic Fluff, freeform, 444
Husbands, freeform, 17
pure fluff, freeform, 12
theyre in love what can i say, freeform, 3
Nygmobblepot, freeform, 3
One Shot, freeform, 376
Post-Canon, freeform, 327
Bart Allen, character, 32
Science Experiments, freeform, 6
Coffee, freeform, 21
Soda, freeform, 2
Humor, freeform, 569
Crack, freeform, 233
Red Bull, freeform, 2
The Little Coffeemaker that Could, freeform, 2
Barbara Gordon/Bruce Wayne, relationship, 2
Rough Sex, freeform, 221
Creampie, freeform, 111
Age Difference, freeform, 180
Barry Allen/Iris West, relationship, 23
Barry Allen/Earth-2 Iris West, relationship, 2
Barry Allen & Earth-2 Barry Allen, relationship, 2
Iris West & Earth-2 Iris West, relationship, 2
Earth-2 Iris West, character, 2
Earth-2 (DCU), freeform, 2
Gift Giving, freeform, 17
Doppelganger, freeform, 3
Multiverse, freeform, 32
Barry Allen is The Flash, freeform, 2
Missing Scene, freeform, 91
Earth-2 lives, freeform, 2
Community: fandomweekly, freeform, 2
Jim Gordon, character, 33
Roman Sionis, character, 17
Selina Kyle, character, 34
Vicki Vale, character, 3
POV First Person, freeform, 94
Politics, freeform, 38
Police, freeform, 21
Drugs, freeform, 31
Corruption, freeform, 25
gentrification, freeform, 2
an attempt to slowly make Batman not fascist, freeform, 2
click the kudos button to send bad vibes to Frank Miller, freeform, 2
Merlin/Mordred (Merlin), relationship, 3
Merlin (Merlin), character, 147
Mordred (Merlin), character, 13
Gaius (Merlin), character, 27
Angst, freeform, 2285
Developing Relationship, freeform, 139
Merlin/Arthur Pendragon (Merlin), relationship, 91
Merlin & Morgana (Merlin), relationship, 4
Morgana (Merlin), character, 52
Arthur Pendragon (Merlin), character, 135
Art, freeform, 78
Serious Injuries, freeform, 21
Broken Bones, freeform, 36
Hurt Merlin, freeform, 3
Accidents, freeform, 7
Canon Era, freeform, 39
Blood, freeform, 226
Protective Arthur, freeform, 16
Suitable for remix, freeform, 1
Gaius' Eyebrow, character, 1
Murder, freeform, 132
edgar allan poe - Freeform, freeform, 2
Tell-Tale Heart, freeform, 1
Crazy, freeform, 5
Insanity, freeform, 18
Madness, freeform, 7
Eyebrow, freeform, 1
Horror, freeform, 101
Ygraine de Bois/Uther Pendragon (Merlin), relationship, 2
Uther Pendragon / Vivienne, relationship, 1
Uther Pendragon - mentioned, character, 1
Ygraine de Bois (Merlin), character, 2
Morgana - mentioned, character, 1
Balinor - mentioned, character, 1
Nimueh - mentioned, character, 1
Gaius - mentioned, character, 1
Portrait, freeform, 2
oval portrait, freeform, 1
Infidelity, freeform, 42
Diary, freeform, 1
Discovery, freeform, 3
sad Arthur, freeform, 1
King - Freeform, freeform, 2
prince - Freeform, freeform, 1
Queen - Freeform, freeform, 3
manservant, freeform, 1
magic cure, freeform, 1
Arthur's origin, freeform, 1
secret of Arthur's birth revealed, freeform, 1
Vampires, freeform, 78
Cemetery, freeform, 14
Blood Drinking, freeform, 64
Temporary Character Death, freeform, 74
Halloween, freeform, 69
Swearing, freeform, 158
Additional Warnings In Author's Note, freeform, 52
Alternate Universe - Canon, freeform, 26
Alternate Universe - Childhood Friends, freeform, 6
Childhood Friends, freeform, 65
Partners to Lovers, freeform, 7
Arranged Marriage, freeform, 70
Knights of the Round Table (Merlin), character, 7
Modern Era, freeform, 39
Gwen (Merlin), character, 44
Morgause (Merlin), character, 5
Merlin, character, 36
Once and Future King, freeform, 1
Immortal Merlin, freeform, 1
angsty, freeform, 7
Angst and Hurt/Comfort, freeform, 305
Tissue Warning, freeform, 1
Merlin/Arthur Pendragon, relationship, 26
Uther Pendragon (Merlin), character, 20
Gwaine (Merlin), character, 41
Percival (Merlin), character, 17
Leon (Merlin), character, 22
Elyan (Merlin), character, 12
random visiting King who I based vaguely on Robert Baratheon, character, 1
Oral Sex, freeform, 488
Anal Sex, freeform, 701
mildy dubious consent at the start but soon becomes enthusiastic consent, freeform, 1
attempted non-con but don't worry he gets rescued, freeform, 1
Lots of kissing, freeform, 5
Outdoor Sex, freeform, 20
Sex In A Cave, freeform, 2
sex all over the castle and grounds basically, freeform, 1
Idiots in Love, freeform, 200
Merlin (Merlin)/Original Male Character(s), relationship, 2
Gwaine/Merlin (Merlin), relationship, 4
Gwaine/Merlin/Arthur Pendragon (Merlin), relationship, 1
Original Male Character(s), character, 352
Bondage, freeform, 135
Rimming, freeform, 127
Threesome - M/M/M, freeform, 79
Merlin is a Little Shit, freeform, 3
Bottom Merlin, freeform, 1
Merlin likes to be used, freeform, 1
Merlin is slutty, freeform, 1
not trying to slutshame here it's just a little kink of mine, freeform, 1
whore as a slur, freeform, 1
Punishment, freeform, 34
this relationship moves from 0 to 100 instantly i'm very sorry, freeform, 1
Fluff and Smut, freeform, 381
chapter 2 is just pure schmoop, freeform, 1
Commitment, freeform, 2
Will (Merlin), character, 5
Alternate Universe - College/University, freeform, 245
Flirting, freeform, 186
Falling In Love, freeform, 261
Shovel-Murderers, freeform, 1
Short & Sweet, freeform, 86
Height Differences, freeform, 6
Galahad/Tristan (King Arthur 2004), relationship, 2
Tristan (King Arthur 2004), character, 3
Galahad (King Arthur 2004), character, 3
Bors (King Arthur 2004), character, 1
Gawain (King Arthur 2004), character, 2
Lancelot (King Arthur 2004), character, 2
Arthur Castus, character, 2
Vanora (King Arthur 2004), character, 1
Galahad loves Tristan, freeform, 1
Tristan pines for no reason, freeform, 1
all the knights know, freeform, 1
all the knights help, freeform, 1
This is a terrible idea, freeform, 1
Vanora is the best, freeform, 1
and lots of historical research about apples, freeform, 1
Don't Ask, freeform, 1
Hannibal Extended Universe, freeform, 1
Merlin & Arthur Pendragon (Merlin), relationship, 27
Episode: s05e13 The Diamond of the Day, freeform, 2
Bromance, freeform, 17
Arthur Knows About Merlin's Magic (Merlin), freeform, 9
POV Arthur Pendragon (Merlin), freeform, 4
Reading, freeform, 6
Minor Character Death, freeform, 194
Grief/Mourning, freeform, 219
Gabriel (Supernatural), character, 31
Neal Caffrey, character, 4
Nico di Angelo, character, 36
Artemis Fowl II, character, 3
Grubitsch "Grubbs" Grady, character, 1
Jordan Maron | CaptainSparklez, character, 1
Stiles Stilinski, character, 104
Will Treaty, character, 1
Jack Frost (Guardians of Childhood), character, 3
Crossover, freeform, 276
Hogwarts, freeform, 41
original backstory, freeform, 1
Balinor (Merlin), character, 5
Canon Compliant, freeform, 386
Banter, freeform, 83
Episode: s02e13 The Last Dragonlord, freeform, 2
Merthur, relationship, 2
Written in the present tense, freeform, 1
very short, freeform, 3
Ficlet, freeform, 133
bbc merlin - Freeform, freeform, 1
