Works: 3498
Superman/Batman, relationship, 3
Clark Kent, character, 36
Bruce Wayne, character, 76
Alfred Pennyworth, character, 32
Jonathan Kent, character, 9
Martha Kent, character, 8
Thomas Wayne, character, 6
Martha Wayne, character, 6
Helena Bertinelli/Dinah Lance, relationship, 3
Helena Bertinelli, character, 5
Dinah Lance, character, 10
Renee Montoya, character, 4
Harley Quinn, character, 6
some ouchies in this, freeform, 3
and hurt/comfort, freeform, 3
and a bit fluff, freeform, 3
and a bit of angst, freeform, 3
cause I'm me lol, freeform, 3
more harmless than the canon violence I think though, freeform, 3
Original Female Character & Original Male Character, relationship, 3
Original Characters, character, 108
Artemisia I of Caria, character, 3
Various Character(s), character, 3
Minor Characters, character, 13
Darkseid (DCU), character, 3
Background & Cameo Characters, character, 9
Self-Insert, freeform, 6
Black Male Character, freeform, 3
Black Character(s), freeform, 4
Blondes, freeform, 3
Male-Female Friendship, freeform, 14
Interracial Relationship, freeform, 3
Sequel, freeform, 8
Superheroes, freeform, 5
Supervillains, freeform, 4
Superpowers, freeform, 5
Weapons, freeform, 4
Swords, freeform, 3
Fights, freeform, 13
Epic Battles, freeform, 3
Original Character(s), freeform, 31
Original Character-centric, freeform, 7
Major Original Character(s), freeform, 5
Out of Character, freeform, 21
2020s, freeform, 3
Alternate Universe - Modern Setting, freeform, 76
Alternate Universe, freeform, 162
Magic-Users, freeform, 6
Magic, freeform, 23
Heroes & Heroines, freeform, 3
Villains, freeform, 5
Good versus Evil, freeform, 3
Planets, freeform, 3
Interplanetary Travel, freeform, 3
Space Opera, freeform, 3
Science Fiction, freeform, 7
Fantasy, freeform, 16
High Fantasy, freeform, 3
Urban Fantasy, freeform, 6
Action/Adventure, freeform, 25
Action, freeform, 22
Violence, freeform, 36
Clark Kent/Bruce Wayne, relationship, 4
Conner Kent, character, 3
Bottom Clark Kent, freeform, 3
somewhere in time parody, freeform, 3
Batman(Robert Pattinson) / Superman (Henry Cavill), freeform, 3
Roy Harper/Jason Todd, relationship, 8
Tim Drake/Kon-El | Conner Kent, relationship, 3
Jason Todd, character, 81
Roy Harper, character, 26
Koriand'r (DCU), character, 9
Kon-El | Conner Kent, character, 16
Tim Drake, character, 44
Barbara Gordon, character, 16
Hurt/Comfort, freeform, 273
Emotional Hurt/Comfort, freeform, 126
Found Family, freeform, 29
Alternate Timelines, freeform, 5
Tim Drake/Ra's al Ghul, relationship, 4
Ra's al Ghul, character, 7
Alpha/Beta/Omega Dynamics, freeform, 48
Omega Tim Drake, freeform, 3
Alpha Ra's al Ghul, freeform, 3
Induced heats, freeform, 3
Drug-Induced Sex, freeform, 5
Kidnapping, freeform, 37
Obsession, freeform, 4
Unhealthy Relationships, freeform, 9
Emotional Manipulation, freeform, 19
Ra's being Ra's I guess, freeform, 3
This Is Why We Can't Have Nice Things, freeform, 6
Older Man/Younger Man, freeform, 4
no beta we die like jason todd, freeform, 7
Astra/Alex Danvers, relationship, 5
Alex Danvers, character, 16
Astra (Supergirl TV 2015), character, 4
Alternate Universe - Canon Divergence, freeform, 179
